Route ID,Source,Destination,Carrier,Distance (km),Cost per km ($),Total Cost ($),Delivery Time (hrs),Delivery Status
R0051,Miami,Las Vegas,Carrier A,4639,1.83,8489.37,50.66,Pending
R0052,Chicago,Dallas,Carrier C,1095,2.04,2233.8,18.25,Delivered
R0053,Boston,San Francisco,Carrier A,4320,2.07,8942.4,62.4,Delivered
R0054,Philadelphia,Las Vegas,Carrier B,4671,3.13,14620.23,77.48,Pending
R0055,Philadelphia,Los Angeles,Carrier C,382,2.12,809.84,4.38,In Transit
R0056,Houston,Boston,Carrier C,3462,2.75,9520.5,38.27,Delivered
R0057,Detroit,Chicago,Carrier C,4538,1.59,7215.42,58.57,In Transit
R0058,Los Angeles,Seattle,Carrier C,450,1.89,850.5,5.4,Delivered
R0059,New York,Denver,Carrier B,3320,2.88,9561.6,39.29,Pending
R0060,New York,Phoenix,Carrier B,605,1.98,1197.9,6.97,In Transit
R0061,Los Angeles,Houston,Carrier B,2850,1.58,4503.0,37.15,Delivered
R0062,Atlanta,New York,Carrier C,3531,3.37,11899.47,36.49,Delivered
R0063,Chicago,Los Angeles,Carrier A,1039,2.11,2192.29,11.42,Pending
R0064,Houston,Los Angeles,Carrier C,2903,1.69,4906.07,36.95,In Transit
R0065,Seattle,Boston,Carrier A,966,1.93,1864.38,13.09,In Transit
R0066,Atlanta,Dallas,Carrier B,3100,3.38,10478.0,45.76,In Transit
R0067,Dallas,Dallas,Carrier C,4171,3.29,13722.59,68.84,In Transit
R0068,Detroit,Philadelphia,Carrier C,2491,1.86,4633.26,40.58,Delivered
R0069,Philadelphia,Boston,Carrier C,4540,3.11,14119.4,56.39,In Transit
R0070,Seattle,Dallas,Carrier B,1239,1.81,2242.59,15.08,In Transit
R0071,New York,Seattle,Carrier C,2659,2.96,7870.64,30.27,Delivered
R0072,San Francisco,Houston,Carrier B,4966,2.58,12812.28,72.18,Pending
R0073,Philadelphia,Seattle,Carrier A,4700,1.78,8366.0,68.0,Delivered
R0074,Las Vegas,Phoenix,Carrier B,2658,3.35,8904.3,37.08,In Transit
R0075,Las Vegas,Dallas,Carrier C,1571,1.87,2937.77,19.82,Delivered
R0076,Miami,Miami,Carrier C,2575,3.19,8214.25,30.2,Pending
R0077,Phoenix,San Francisco,Carrier C,1801,3.26,5871.26,20.53,In Transit
R0078,San Francisco,Atlanta,Carrier C,4067,3.21,13055.07,45.44,Delivered
R0079,Atlanta,San Francisco,Carrier C,497,2.1,1043.7,5.58,In Transit
R0080,Atlanta,Miami,Carrier B,2357,1.57,3700.49,23.64,Pending
R0081,San Francisco,Dallas,Carrier C,2082,2.68,5579.76,20.83,Pending
R0082,Atlanta,San Francisco,Carrier B,1253,3.41,4272.73,13.14,Pending
R0083,New York,Las Vegas,Carrier B,378,2.8,1058.4,4.11,Delivered
R0084,Phoenix,Chicago,Carrier A,3704,1.52,5630.08,38.34,Pending
R0085,Phoenix,Chicago,Carrier A,3501,2.05,7177.05,46.91,Pending
R0086,Los Angeles,Denver,Carrier C,3781,3.34,12628.54,54.62,Delivered
R0087,Atlanta,Miami,Carrier C,577,3.01,1736.77,8.63,Pending
R0088,Detroit,New York,Carrier C,2587,2.62,6777.94,29.75,In Transit
R0089,Atlanta,Detroit,Carrier B,1472,2.29,3370.88,21.01,Pending
R0090,New York,San Francisco,Carrier C,4089,1.58,6460.62,65.63,Delivered
R0091,Denver,Denver,Carrier A,4700,2.92,13724.0,74.61,Delivered
R0092,Dallas,Philadelphia,Carrier C,3672,2.04,7490.88,39.97,Delivered
R0093,Chicago,Dallas,Carrier B,2181,3.25,7088.25,27.1,In Transit
R0094,Atlanta,Seattle,Carrier C,4754,2.37,11266.98,68.79,In Transit
R0095,New York,Atlanta,Carrier B,3296,2.37,7811.52,48.47,Pending
R0096,Denver,Detroit,Carrier A,1466,3.07,4500.62,16.05,Pending
R0097,Houston,New York,Carrier B,4498,3.06,13763.88,59.8,Pending
R0098,Denver,Phoenix,Carrier B,969,1.73,1676.37,9.89,Pending
R0099,Las Vegas,Atlanta,Carrier A,552,2.8,1545.6,5.95,Delivered
R0100,Houston,Chicago,Carrier C,1142,2.67,3049.14,13.78,Pending
R0101,San Francisco,New York,Carrier C,3364,2.91,9789.24,39.21,Delivered
R0102,Houston,Los Angeles,Carrier A,459,1.55,711.45,6.42,In Transit
R0103,Chicago,Houston,Carrier C,4667,2.88,13440.96,70.27,In Transit
R0104,Dallas,Miami,Carrier C,1938,3.49,6763.62,19.56,In Transit
R0105,Atlanta,Dallas,Carrier B,2130,2.78,5921.4,21.86,Delivered
R0106,Miami,Atlanta,Carrier A,4981,3.5,17433.5,76.84,Delivered
R0107,Denver,Houston,Carrier C,2478,2.36,5848.08,37.21,Delivered
R0108,Las Vegas,Seattle,Carrier C,1814,1.89,3428.46,26.87,Delivered
R0109,New York,Seattle,Carrier C,872,3.35,2921.2,9.7,In Transit
R0110,Denver,New York,Carrier C,2990,2.8,8372.0,40.82,Pending
R0111,New York,Detroit,Carrier C,1467,2.06,3022.02,20.53,In Transit
R0112,Seattle,Denver,Carrier C,1205,2.99,3602.95,16.4,Pending
R0113,Denver,Boston,Carrier A,3356,3.0,10068.0,38.4,In Transit
R0114,Las Vegas,Miami,Carrier A,2796,3.33,9310.68,40.96,Pending
R0115,New York,San Francisco,Carrier B,2144,1.78,3816.32,34.67,In Transit
R0116,Dallas,Dallas,Carrier A,2818,2.76,7777.68,30.77,Pending
R0117,Phoenix,Miami,Carrier C,1361,2.34,3184.74,21.24,Pending
R0118,San Francisco,San Francisco,Carrier C,681,2.29,1559.49,7.2,Pending
R0119,Philadelphia,Seattle,Carrier B,2157,3.39,7312.23,21.91,Delivered
R0120,Boston,Houston,Carrier B,4442,2.24,9950.08,56.52,Delivered
R0121,Atlanta,Boston,Carrier C,3979,1.87,7440.73,45.18,Pending
R0122,Dallas,Los Angeles,Carrier C,4492,2.56,11499.52,48.15,Delivered
R0123,Denver,Denver,Carrier A,1036,3.01,3118.36,11.8,Delivered
R0124,Boston,Las Vegas,Carrier B,1132,1.72,1947.04,12.35,In Transit
R0125,New York,Las Vegas,Carrier C,1853,3.11,5762.83,28.19,Pending
R0126,Dallas,Los Angeles,Carrier B,3024,1.55,4687.2,37.43,Pending
R0127,Houston,Atlanta,Carrier A,2328,1.75,4074.0,33.08,In Transit
R0128,Philadelphia,Los Angeles,Carrier B,1169,3.15,3682.35,12.23,In Transit
R0129,Las Vegas,Philadelphia,Carrier A,2978,1.65,4913.7,30.09,Pending
R0130,Seattle,Dallas,Carrier B,892,2.57,2292.44,14.79,In Transit
R0131,Dallas,Phoenix,Carrier A,4758,2.85,13560.3,52.18,In Transit
R0132,Dallas,Seattle,Carrier C,4552,2.74,12472.48,55.07,Pending
R0133,New York,Dallas,Carrier C,2442,2.35,5738.7,35.1,In Transit
R0134,Los Angeles,Atlanta,Carrier A,3591,2.53,9085.23,45.11,Delivered
R0135,Philadelphia,Philadelphia,Carrier C,3247,1.76,5714.72,36.35,In Transit
R0136,Detroit,Detroit,Carrier C,3497,1.89,6609.33,49.12,Delivered
R0137,Miami,San Francisco,Carrier B,2576,3.34,8603.84,37.1,In Transit
R0138,San Francisco,Dallas,Carrier B,4044,1.79,7238.76,41.31,Pending
R0139,Philadelphia,Philadelphia,Carrier C,2625,3.03,7953.75,39.97,Delivered
R0140,New York,San Francisco,Carrier B,2910,2.05,5965.5,36.95,Pending
R0141,San Francisco,Las Vegas,Carrier C,1397,2.52,3520.44,16.49,In Transit
R0142,Seattle,San Francisco,Carrier B,1146,1.74,1994.04,11.75,Delivered
R0143,Phoenix,New York,Carrier A,3864,2.29,8848.56,40.31,Delivered
R0144,San Francisco,Dallas,Carrier A,2013,2.73,5495.49,20.59,Pending
R0145,Atlanta,Las Vegas,Carrier A,2034,2.74,5573.16,21.26,Pending
R0146,Atlanta,Seattle,Carrier C,4573,2.32,10609.36,53.69,Delivered
R0147,Denver,New York,Carrier A,3277,2.03,6652.31,49.31,Pending
R0148,Chicago,Seattle,Carrier C,2414,2.53,6107.42,37.09,Delivered
R0149,Los Angeles,Miami,Carrier C,4987,1.75,8727.25,63.98,Delivered
R0150,Los Angeles,Phoenix,Carrier A,2284,1.73,3951.32,23.45,Pending
R0151,Dallas,Detroit,Carrier A,3539,1.99,7042.61,42.07,Pending
R0152,Detroit,Phoenix,Carrier C,4767,1.73,8246.91,59.3,Pending
R0153,Detroit,New York,Carrier C,3837,2.42,9285.54,39.65,Delivered
R0154,Seattle,Phoenix,Carrier B,4821,1.55,7472.55,51.51,In Transit
R0155,Houston,Atlanta,Carrier C,4528,2.72,12316.16,48.78,Pending
R0156,Philadelphia,New York,Carrier A,681,2.16,1470.96,7.64,Pending
R0157,San Francisco,Chicago,Carrier C,2143,2.5,5357.5,21.66,Delivered
R0158,Denver,Philadelphia,Carrier B,3983,3.5,13940.5,40.16,Delivered
R0159,Seattle,Boston,Carrier A,2864,3.22,9222.08,37.41,Delivered
R0160,Dallas,Denver,Carrier A,3995,2.09,8349.55,40.92,Pending
R0161,Seattle,Miami,Carrier A,4361,2.67,11643.87,54.98,Pending
R0162,Atlanta,Las Vegas,Carrier A,1191,1.62,1929.42,12.3,In Transit
R0163,Houston,Denver,Carrier C,786,2.07,1627.02,8.52,Delivered
R0164,Los Angeles,Detroit,Carrier A,707,2.57,1816.99,8.09,Pending
R0165,Las Vegas,Boston,Carrier C,3891,2.68,10427.88,45.85,In Transit
R0166,Seattle,Detroit,Carrier A,3892,3.24,12610.08,59.51,In Transit
R0167,Dallas,Boston,Carrier B,4893,2.1,10275.3,64.44,Pending
R0168,Las Vegas,Dallas,Carrier C,3497,2.43,8497.71,49.49,In Transit
R0169,Philadelphia,Dallas,Carrier B,1603,1.85,2965.55,16.93,Delivered
R0170,Philadelphia,Chicago,Carrier B,766,1.86,1424.76,8.73,In Transit
R0171,Detroit,Phoenix,Carrier A,4935,2.46,12140.1,66.01,Pending
R0172,Atlanta,Philadelphia,Carrier A,1928,2.9,5591.2,19.55,Delivered
R0173,San Francisco,Los Angeles,Carrier B,2000,1.83,3660.0,27.21,Pending
R0174,Dallas,San Francisco,Carrier C,3293,2.64,8693.52,49.48,In Transit
R0175,Houston,Boston,Carrier B,509,2.35,1196.15,5.46,Delivered
R0176,Phoenix,Seattle,Carrier C,2112,3.07,6483.84,33.77,Pending
R0177,Chicago,Houston,Carrier C,4703,3.33,15660.99,78.25,Pending
R0178,Detroit,Las Vegas,Carrier B,851,2.21,1880.71,13.51,Delivered
R0179,San Francisco,Miami,Carrier B,3728,2.88,10736.64,47.71,Delivered
R0180,Chicago,Boston,Carrier B,2897,1.64,4751.08,45.99,Pending
R0181,Houston,New York,Carrier C,3757,3.08,11571.56,40.91,Delivered
R0182,Philadelphia,Denver,Carrier A,2208,2.67,5895.36,23.73,In Transit
R0183,Atlanta,Houston,Carrier A,3876,2.64,10232.64,42.1,Pending
R0184,Seattle,Phoenix,Carrier A,1113,3.27,3639.51,14.87,Delivered
R0185,Boston,Phoenix,Carrier B,4559,2.63,11990.17,64.73,Pending
R0186,Boston,Houston,Carrier B,4550,2.91,13240.5,70.55,In Transit
R0187,Phoenix,Seattle,Carrier B,1480,2.19,3241.2,17.31,Delivered
R0188,Denver,San Francisco,Carrier C,2711,2.16,5855.76,32.96,Delivered
R0189,Boston,Dallas,Carrier A,564,2.34,1319.76,7.99,Pending
R0190,Dallas,Denver,Carrier B,2270,2.04,4630.8,25.06,In Transit
R0191,New York,Atlanta,Carrier B,1191,2.96,3525.36,12.74,In Transit
R0192,New York,New York,Carrier C,2540,1.88,4775.2,29.95,Pending
R0193,Detroit,San Francisco,Carrier C,838,2.33,1952.54,13.74,Delivered
R0194,Houston,Phoenix,Carrier A,1776,2.02,3587.52,23.66,In Transit
R0195,San Francisco,Chicago,Carrier B,3878,1.94,7523.32,62.33,Delivered
R0196,Miami,Miami,Carrier A,4778,1.76,8409.28,51.08,Pending
R0197,Las Vegas,New York,Carrier B,3352,2.03,6804.56,49.1,Delivered
R0198,Atlanta,Los Angeles,Carrier C,4444,2.17,9643.48,70.27,Pending
R0199,Detroit,San Francisco,Carrier B,2907,2.17,6308.19,39.52,In Transit
R0200,Philadelphia,Las Vegas,Carrier B,3444,2.15,7404.6,43.57,In Transit
R0201,San Francisco,Miami,Carrier C,2224,2.0,4448.0,24.97,Pending
R0202,San Francisco,Philadelphia,Carrier B,2347,3.09,7252.23,34.61,Pending
R0203,Houston,Philadelphia,Carrier A,2637,1.51,3981.87,28.07,In Transit
R0204,Houston,Phoenix,Carrier C,4859,1.61,7822.99,60.42,Pending
R0205,Houston,Detroit,Carrier B,3950,3.37,13311.5,56.63,Delivered
R0206,Miami,Chicago,Carrier C,2153,3.12,6717.36,30.63,Delivered
R0207,Dallas,Chicago,Carrier B,809,1.6,1294.4,9.64,Pending
R0208,Chicago,Denver,Carrier C,1104,2.1,2318.4,15.55,In Transit
R0209,Las Vegas,Chicago,Carrier B,1694,2.37,4014.78,18.68,In Transit
R0210,Chicago,Detroit,Carrier B,528,3.32,1752.96,6.17,Delivered
R0211,Detroit,Los Angeles,Carrier A,1398,2.41,3369.18,17.85,Delivered
R0212,Chicago,Miami,Carrier A,4290,2.33,9995.7,42.98,Delivered
R0213,Dallas,Miami,Carrier B,1510,3.07,4635.7,17.72,Pending
R0214,Dallas,Atlanta,Carrier C,2092,2.82,5899.44,22.97,Delivered
R0215,Miami,Boston,Carrier C,493,2.08,1025.44,6.07,In Transit
R0216,Las Vegas,Denver,Carrier B,2564,3.16,8102.24,31.17,In Transit
R0217,Boston,Seattle,Carrier C,2188,3.09,6760.92,30.66,Delivered
R0218,San Francisco,Seattle,Carrier A,752,2.79,2098.08,8.16,Pending
R0219,Los Angeles,Atlanta,Carrier C,333,2.46,819.18,4.32,Delivered
R0220,Atlanta,Detroit,Carrier C,1800,1.81,3258.0,19.9,Pending
R0221,Chicago,Phoenix,Carrier B,4618,1.82,8404.76,64.03,Delivered
R0222,Las Vegas,Dallas,Carrier C,1716,1.65,2831.4,19.14,Pending
R0223,New York,Chicago,Carrier C,2338,2.92,6826.96,29.6,In Transit
R0224,Atlanta,Detroit,Carrier C,2181,1.54,3358.74,31.95,Delivered
R0225,Philadelphia,Boston,Carrier C,838,2.91,2438.58,11.64,In Transit
R0226,Las Vegas,New York,Carrier B,2335,2.37,5533.95,24.09,In Transit
R0227,Las Vegas,Boston,Carrier C,3176,1.89,6002.64,38.14,Delivered
R0228,San Francisco,Phoenix,Carrier A,5000,3.12,15600.0,67.24,Delivered
R0229,San Francisco,Detroit,Carrier B,3962,1.64,6497.68,65.52,In Transit
R0230,Houston,Denver,Carrier B,4942,1.74,8599.08,76.92,Delivered
R0231,Detroit,Detroit,Carrier C,3106,1.91,5932.46,44.22,Pending
R0232,Detroit,Boston,Carrier B,3892,3.3,12843.6,64.66,Delivered
R0233,Philadelphia,Las Vegas,Carrier B,1617,2.33,3767.61,21.85,In Transit
R0234,Phoenix,Miami,Carrier A,492,2.73,1343.16,5.11,Delivered
R0235,Chicago,Los Angeles,Carrier A,4507,2.95,13295.65,46.02,Delivered
R0236,Los Angeles,Denver,Carrier C,3039,3.03,9208.17,41.04,Delivered
R0237,Seattle,Philadelphia,Carrier B,4274,3.29,14061.46,46.8,Pending
R0238,Denver,Miami,Carrier B,1530,1.88,2876.4,18.0,Delivered
R0239,Atlanta,Philadelphia,Carrier A,4765,1.8,8577.0,50.74,Delivered
R0240,Detroit,Dallas,Carrier C,4927,1.56,7686.12,67.7,In Transit
R0241,Miami,Dallas,Carrier A,2007,2.64,5298.48,22.27,Delivered
R0242,Chicago,Boston,Carrier B,1179,2.92,3442.68,12.16,Pending
R0243,Chicago,Los Angeles,Carrier B,3082,2.49,7674.18,47.12,Delivered
R0244,San Francisco,Chicago,Carrier B,2145,2.05,4397.25,33.74,Delivered
R0245,Boston,Philadelphia,Carrier A,3907,2.04,7970.28,39.43,In Transit
R0246,Boston,Phoenix,Carrier B,1541,3.49,5378.09,18.66,Delivered
R0247,Detroit,Atlanta,Carrier A,4523,1.73,7824.79,63.5,Pending
R0248,New York,Denver,Carrier A,3570,2.32,8282.4,37.26,Delivered
R0249,Houston,New York,Carrier B,3241,2.66,8621.06,38.48,Pending
R0250,Los Angeles,Los Angeles,Carrier C,4055,2.11,8556.05,67.02,In Transit
R0251,San Francisco,Philadelphia,Carrier C,1306,1.7,2220.2,14.6,Delivered
R0252,Atlanta,Seattle,Carrier B,4108,2.91,11954.28,52.15,In Transit
R0253,Denver,Phoenix,Carrier B,1309,2.73,3573.57,13.25,Pending
R0254,Seattle,Dallas,Carrier C,4428,2.69,11911.32,50.93,In Transit
R0255,Los Angeles,Chicago,Carrier C,2390,2.18,5210.2,28.78,In Transit
R0256,Seattle,Las Vegas,Carrier B,4288,3.32,14236.16,44.45,Pending
R0257,New York,Phoenix,Carrier C,2636,2.09,5509.24,35.27,Delivered
R0258,Denver,Houston,Carrier C,1400,3.42,4788.0,17.39,In Transit
R0259,Denver,Houston,Carrier A,1935,2.58,4992.3,28.2,Pending
R0260,Seattle,Chicago,Carrier A,4419,1.56,6893.64,70.43,In Transit
R0261,New York,Dallas,Carrier A,3122,2.95,9209.9,47.96,Pending
R0262,Denver,Houston,Carrier A,2752,3.21,8833.92,27.89,Pending
R0263,Atlanta,Houston,Carrier C,562,1.63,916.06,6.36,Pending
R0264,Atlanta,Detroit,Carrier A,922,2.17,2000.74,12.75,In Transit
R0265,San Francisco,Philadelphia,Carrier C,3200,2.93,9376.0,51.33,Pending
R0266,Phoenix,Philadelphia,Carrier C,4288,3.13,13421.44,51.78,Delivered
R0267,Las Vegas,Boston,Carrier A,1326,3.3,4375.8,13.56,Pending
R0268,Seattle,Atlanta,Carrier B,1038,2.91,3020.58,14.43,In Transit
R0269,Seattle,Los Angeles,Carrier C,996,3.11,3097.56,13.19,Delivered
R0270,Denver,Las Vegas,Carrier B,3699,2.07,7656.93,46.27,In Transit
R0271,New York,Boston,Carrier C,2623,3.33,8734.59,30.26,Delivered
R0272,Atlanta,Miami,Carrier A,2551,2.4,6122.4,38.85,In Transit
R0273,Seattle,Houston,Carrier B,1448,1.93,2794.64,22.26,Delivered
R0274,Boston,Atlanta,Carrier A,2536,2.85,7227.6,42.05,In Transit
R0275,Dallas,Miami,Carrier A,3462,2.21,7651.02,36.15,Delivered
R0276,Atlanta,Phoenix,Carrier B,487,3.48,1694.76,7.88,Pending
R0277,Houston,Chicago,Carrier C,3411,2.35,8015.85,44.37,Delivered
R0278,Boston,Los Angeles,Carrier B,958,3.26,3123.08,13.32,Delivered
R0279,Chicago,Denver,Carrier C,1171,3.03,3548.13,19.33,Pending
R0280,Atlanta,New York,Carrier C,934,3.27,3054.18,11.1,Delivered
R0281,Boston,San Francisco,Carrier A,4978,3.45,17174.1,77.29,Pending
R0282,Philadelphia,Las Vegas,Carrier B,1674,1.72,2879.28,26.95,Pending
R0283,Las Vegas,Boston,Carrier A,2512,3.08,7736.96,28.18,In Transit
R0284,Seattle,Houston,Carrier C,3114,2.76,8594.64,31.14,Pending
R0285,New York,Philadelphia,Carrier C,2049,2.51,5142.99,20.49,In Transit
R0286,Chicago,Las Vegas,Carrier C,379,2.07,784.53,5.77,Delivered
R0287,Dallas,San Francisco,Carrier C,1715,1.91,3275.65,18.44,In Transit
R0288,Los Angeles,Seattle,Carrier C,4756,2.34,11129.04,53.23,In Transit
R0289,Los Angeles,Seattle,Carrier C,2183,3.26,7116.58,31.66,Delivered
R0290,San Francisco,Atlanta,Carrier B,2728,1.79,4883.12,30.76,Delivered
R0291,Dallas,Miami,Carrier A,4475,3.32,14857.0,63.68,Delivered
R0292,San Francisco,Denver,Carrier B,1373,1.66,2279.18,13.85,Pending
R0293,Houston,Houston,Carrier B,2648,3.11,8235.28,36.29,Delivered
R0294,Boston,Los Angeles,Carrier A,3202,1.84,5891.68,43.83,In Transit
R0295,Las Vegas,Houston,Carrier C,4972,1.85,9198.2,57.91,Pending
R0296,Boston,Philadelphia,Carrier B,4321,2.23,9635.83,47.54,Delivered
R0297,Miami,New York,Carrier A,2163,3.19,6899.97,24.97,In Transit
R0298,Boston,Chicago,Carrier C,3016,1.7,5127.2,31.6,Delivered
R0299,Dallas,Denver,Carrier A,547,2.9,1586.3,7.09,In Transit
R0300,Los Angeles,Denver,Carrier A,2658,1.99,5289.42,30.95,Pending
R0301,Boston,Atlanta,Carrier B,2625,3.15,8268.75,28.87,In Transit
R0302,Dallas,New York,Carrier A,490,2.88,1411.2,6.46,In Transit
R0303,San Francisco,Boston,Carrier A,2979,2.08,6196.32,31.01,Delivered
R0304,Boston,Phoenix,Carrier C,1963,1.79,3513.77,25.15,In Transit
R0305,Los Angeles,Dallas,Carrier C,603,3.23,1947.69,8.28,In Transit
R0306,Phoenix,Atlanta,Carrier A,3866,1.77,6842.82,46.55,Pending
R0307,Los Angeles,Atlanta,Carrier C,1055,2.85,3006.75,13.09,Delivered
R0308,Seattle,Seattle,Carrier C,3548,2.27,8053.96,46.04,Delivered
R0309,Miami,Miami,Carrier A,3650,2.51,9161.5,40.88,Delivered
R0310,Philadelphia,Las Vegas,Carrier B,2323,3.15,7317.45,31.44,In Transit
R0311,Dallas,San Francisco,Carrier A,2851,2.38,6785.38,42.64,Delivered
R0312,Las Vegas,Atlanta,Carrier B,4529,2.32,10507.28,47.09,In Transit
R0313,Las Vegas,Boston,Carrier C,2403,2.72,6536.16,27.09,Delivered
R0314,Las Vegas,New York,Carrier B,4475,2.02,9039.5,66.67,Delivered
R0315,San Francisco,Boston,Carrier A,1997,2.69,5371.93,23.1,Pending
R0316,Boston,Chicago,Carrier C,2483,3.25,8069.75,28.85,Pending
R0317,Las Vegas,Philadelphia,Carrier A,2666,2.57,6851.62,28.49,Delivered
R0318,Houston,Atlanta,Carrier C,3954,1.94,7670.76,47.92,Delivered
R0319,Houston,Chicago,Carrier A,3030,2.97,8999.1,33.85,In Transit
R0320,Chicago,Los Angeles,Carrier B,383,3.36,1286.88,5.81,Delivered
R0321,Philadelphia,New York,Carrier A,1153,1.65,1902.45,13.35,Delivered
R0322,New York,Houston,Carrier C,4531,1.89,8563.59,49.51,In Transit
R0323,Seattle,Las Vegas,Carrier C,2265,2.61,5911.65,27.11,Delivered
R0324,Detroit,Las Vegas,Carrier C,3002,3.02,9066.04,49.12,In Transit
R0325,Detroit,Los Angeles,Carrier B,3899,2.55,9942.45,40.03,In Transit
R0326,San Francisco,Houston,Carrier A,4716,3.04,14336.64,60.65,Delivered
R0327,Miami,Denver,Carrier A,4475,2.92,13067.0,58.27,In Transit
R0328,Las Vegas,Chicago,Carrier C,4608,1.88,8663.04,67.76,In Transit
R0329,Phoenix,Dallas,Carrier A,4690,1.93,9051.7,47.9,Pending
R0330,Denver,Chicago,Carrier B,4192,2.96,12408.32,42.02,Delivered
R0331,Philadelphia,San Francisco,Carrier A,593,3.01,1784.93,7.97,Delivered
R0332,Chicago,Atlanta,Carrier C,445,2.1,934.5,6.26,In Transit
R0333,Phoenix,Chicago,Carrier B,3531,2.52,8898.12,43.01,In Transit
R0334,San Francisco,Atlanta,Carrier A,4298,1.68,7220.64,47.93,In Transit
R0335,San Francisco,Houston,Carrier C,3658,3.38,12364.04,58.22,In Transit
R0336,Atlanta,Denver,Carrier B,3946,3.24,12785.04,49.72,In Transit
R0337,Dallas,Boston,Carrier B,1504,1.98,2977.92,22.09,In Transit
R0338,San Francisco,Detroit,Carrier C,370,3.42,1265.4,4.48,Pending
R0339,Boston,New York,Carrier B,3007,1.98,5953.86,49.84,Pending
